기간	자치구	교통안전지수
2010	서울시	81.8
2010	종로구	65
2010	중구	67
2010	용산구	79.4
2010	성동구	86.2
2010	광진구	80.5
2010	동대문구	71.7
2010	중랑구	79.2
2010	성북구	86.3
2010	강북구	78
2010	도봉구	85.9
2010	노원구	81.2
2010	은평구	85
2010	서대문구	80.1
2010	마포구	78.9
2010	양천구	88.7
2010	강서구	83.6
2010	구로구	85.7
2010	금천구	79.7
2010	영등포구	75.7
2010	동작구	83.8
2010	관악구	81.1
2010	서초구	77.6
2010	강남구	77.3
2010	송파구	83.8
2010	강동구	83
2011	서울시	78.3
2011	종로구	66.6
2011	중구	55.9
2011	용산구	79.7
2011	성동구	80.7
2011	광진구	76
2011	동대문구	77.1
2011	중랑구	79.2
2011	성북구	82.7
2011	강북구	85.2
2011	도봉구	81.9
2011	노원구	82.9
2011	은평구	78.4
2011	서대문구	76.4
2011	마포구	75.7
2011	양천구	87.5
2011	강서구	84.8
2011	구로구	81
2011	금천구	77.7
2011	영등포구	74
2011	동작구	78.8
2011	관악구	80.6
2011	서초구	80.1
2011	강남구	74.2
2011	송파구	75.9
2011	강동구	84
2012	서울시	78
2012	종로구	67.3
2012	중구	58.9
2012	용산구	76.3
2012	성동구	83.5
2012	광진구	79.3
2012	동대문구	73.9
2012	중랑구	77.6
2012	성북구	83.1
2012	강북구	80.4
2012	도봉구	80.1
2012	노원구	80.3
2012	은평구	82
2012	서대문구	84.3
2012	마포구	76.9
2012	양천구	84.8
2012	강서구	80.7
2012	구로구	78.9
2012	금천구	72.9
2012	영등포구	74.4
2012	동작구	81.2
2012	관악구	79.8
2012	서초구	77.8
2012	강남구	73.6
2012	송파구	82
2012	강동구	79.7
2013	서울시	78.3
2013	종로구	66.4
2013	중구	58.5
2013	용산구	76.6
2013	성동구	83
2013	광진구	82.9
2013	동대문구	73.2
2013	중랑구	80
2013	성북구	82.1
2013	강북구	76.5
2013	도봉구	83.6
2013	노원구	85.3
2013	은평구	86.1
2013	서대문구	79.1
2013	마포구	74.1
2013	양천구	88.3
2013	강서구	79.1
2013	구로구	79.5
2013	금천구	77.1
2013	영등포구	74.2
2013	동작구	78.9
2013	관악구	77.2
2013	서초구	79.7
2013	강남구	73.1
2013	송파구	79.5
2013	강동구	83.5
2014	서울시	77
2014	종로구	68.4
2014	중구	65.2
2014	용산구	79
2014	성동구	81
2014	광진구	76.6
2014	동대문구	66.6
2014	중랑구	79.3
2014	성북구	81.1
2014	강북구	73.3
2014	도봉구	79
2014	노원구	81.4
2014	은평구	83.4
2014	서대문구	75.9
2014	마포구	74.2
2014	양천구	86.1
2014	강서구	79.6
2014	구로구	76.1
2014	금천구	76.4
