,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2,2020,합계,합계,"245,863","101,037","1,861","5,427","82,308","33,972",973,"20,285","196,260","85,925","1,393","4,242","62,749","27,106",760,"14,085"
3,2020,종로구,소계,"4,700","2,216",100,49,344,50,,"1,941","3,263","1,615",55,33,254,39,,"1,267"
4,2020,종로구,사직동,727,101,,,58,,,568,570,80,,,50,,,440
5,2020,종로구,삼청동,55,32,23,,,,,,39,23,16,,,,,
6,2020,종로구,부암동,154,131,,,,,,23,125,113,,,,,,12
7,2020,종로구,평창동,175,123,,,33,19,,,160,115,,,28,17,,
8,2020,종로구,무악동,240,240,,,,,,,199,199,,,,,,
9,2020,종로구,교남동,284,245,,,39,,,,243,205,,,38,,,
10,2020,종로구,가회동,227,49,,,80,,,98,158,39,,,61,,,58
11,2020,종로구,종로1.2.3.4가동,666,97,,49,,,,520,415,70,,33,,,,312
12,2020,종로구,종로5·6가동,247,,,,104,,,143,140,,,,55,,,85
13,2020,종로구,이화동,235,132,,,,,,103,114,56,,,,,,58
14,2020,종로구,창신1동,180,83,77,,,20,,,98,43,39,,,16,,
15,2020,종로구,창신2동,232,232,,,,,,,130,130,,,,,,
16,2020,종로구,창신3동,116,116,,,,,,,74,74,,,,,,
17,2020,종로구,숭인1동,117,117,,,,,,,100,100,,,,,,
18,2020,종로구,숭인2동,125,114,,,,11,,,93,87,,,,6,,
19,2020,종로구,청운효자동,656,170,,,,,,486,429,127,,,,,,302
20,2020,종로구,혜화동,264,234,,,30,,,,176,154,,,22,,,
21,2020,중구,소계,"4,305","1,952",,338,237,220,,"1,558","3,240","1,551",,270,186,185,,"1,048"
22,2020,중구,소공동,400,,,,,,,400,317,,,,,,,317
23,2020,중구,회현동,348,93,,,,,,255,220,83,,,,,,137
24,2020,중구,명동,713,,,,,,,713,468,,,,,,,468
25,2020,중구,필동,79,79,,,,,,,69,69,,,,,,
26,2020,중구,장충동,97,48,,49,,,,,88,42,,46,,,,
27,2020,중구,광희동,219,99,,,,,,120,142,58,,,,,,84
28,2020,중구,을지로동,119,,,49,,,,70,74,,,32,,,,42
29,2020,중구,신당5동,326,203,,34,74,15,,,249,156,,18,67,8,,
30,2020,중구,황학동,289,249,,,,40,,,258,218,,,,40,,
31,2020,중구,중림동,357,225,,74,,58,,,314,203,,58,,53,,
32,2020,중구,신당동,124,124,,,,,,,118,118,,,,,,
33,2020,중구,다산동,309,195,,49,52,13,,,183,101,,44,29,9,,
34,2020,중구,약수동,495,261,,83,111,40,,,406,209,,72,90,35,,
35,2020,중구,청구동,180,141,,,,39,,,142,107,,,,35,,
36,2020,중구,동화동,250,235,,,,15,,,192,187,,,,5,,
37,2020,용산구,소계,"5,169","2,017",89,315,"1,085",812,33,818,"4,322","1,770",78,251,888,670,31,634
38,2020,용산구,후암동,480,153,52,49,167,59,,,403,143,47,42,127,44,,
39,2020,용산구,용산2가동,141,141,,,,,,,115,115,,,,,,
40,2020,용산구,남영동,131,45,37,,,,,49,113,43,31,,,,,39
41,2020,용산구,원효로2동,311,191,,40,,80,,,246,163,,16,,67,,
42,2020,용산구,효창동,391,124,,20,214,33,,,327,116,,19,172,20,,
43,2020,용산구,용문동,365,90,,40,156,79,,,293,83,,33,124,53,,
44,2020,용산구,이촌1동,367,22,,,108,237,,,345,22,,,99,224,,
45,2020,용산구,이촌2동,195,155,,,,40,,,164,135,,,,29,,
46,2020,용산구,이태원1동,230,,,52,65,40,,73,212,,,47,60,35,,70
47,2020,용산구,이태원2동,129,129,,,,,,,108,108,,,,,,
48,2020,용산구,서빙고동,296,166,,,22,69,,39,217,138,,,4,59,,16
49,2020,용산구,보광동,275,193,,,42,40,,,207,145,,,32,30,,
50,2020,용산구,청파동,560,168,,84,191,37,,80,447,147,,72,155,15,,58
51,2020,용산구,원효로1동,325,133,,30,71,58,33,,301,127,,22,66,55,31,
52,2020,용산구,한강로동,609,162,,,,20,,427,511,146,,,,20,,345
53,2020,용산구,한남동,364,145,,,49,20,,150,313,139,,,49,19,,106
54,2020,성동구,소계,"7,966","4,840",,202,"1,457","1,084",,383,"6,308","3,987",,128,"1,074",890,,229
55,2020,성동구,왕십리2동,441,336,,,48,57,,,383,312,,,33,38,,
56,2020,성동구,마장동,633,423,,,98,112,,,508,365,,,52,91,,
57,2020,성동구,사근동,189,108,,,,,,81,160,92,,,,,,68
58,2020,성동구,행당1동,448,340,,,,59,,49,363,280,,,,48,,35
59,2020,성동구,행당2동,523,215,,,99,209,,,439,188,,,73,178,,
60,2020,성동구,응봉동,252,114,,79,,59,,,151,78,,23,,50,,
61,2020,성동구,금호1가동,625,369,,79,80,97,,,527,323,,79,50,75,,
62,2020,성동구,금호4가동,405,164,,,122,119,,,314,136,,,95,83,,
63,2020,성동구,성수1가1동,350,237,,44,69,,,,275,201,,26,48,,,
64,2020,성동구,성수1가2동,347,133,,,126,39,,49,252,110,,,82,35,,25
65,2020,성동구,성수2가1동,239,88,,,123,,,28,212,69,,,118,,,25
66,2020,성동구,성수2가3동,324,146,,,79,20,,79,239,119,,,79,12,,29
67,2020,성동구,송정동,286,183,,,84,19,,,189,127,,,53,9,,
68,2020,성동구,용답동,548,263,,,236,,,49,417,206,,,191,,,20
69,2020,성동구,왕십리도선동,925,626,,,133,118,,48,716,512,,,73,104,,27
70,2020,성동구,금호2.3가동,673,455,,,160,58,,,527,345,,,127,55,,
71,2020,성동구,옥수동,758,640,,,,118,,,636,524,,,,112,,
72,2020,광진구,소계,"7,807","2,875",,,"3,730",972,49,181,"6,148","2,497",,,"2,782",742,31,96
73,2020,광진구,화양동,287,120,,,147,20,,,201,91,,,93,17,,
74,2020,광진구,군자동,505,241,,,195,38,,31,374,205,,,132,28,,9
75,2020,광진구,중곡1동,163,147,,,,16,,,143,127,,,,16,,
76,2020,광진구,중곡2동,521,208,,,274,39,,,433,188,,,214,31,,
77,2020,광진구,중곡3동,904,236,,,668,,,,628,189,,,439,,,
78,2020,광진구,중곡4동,783,171,,,483,129,,,571,157,,,354,60,,
79,2020,광진구,능동,215,175,,,,40,,,179,147,,,,32,,
80,2020,광진구,구의1동,417,135,,,282,,,,325,102,,,223,,,
81,2020,광진구,구의2동,657,152,,,350,57,49,49,508,139,,,269,54,31,15
82,2020,광진구,구의3동,574,277,,,122,175,,,487,238,,,89,160,,
83,2020,광진구,광장동,510,242,,,83,136,,49,449,231,,,76,106,,36
84,2020,광진구,자양1동,658,161,,,387,58,,52,507,136,,,308,27,,36
85,2020,광진구,자양2동,558,196,,,249,113,,,424,174,,,177,73,,
86,2020,광진구,자양3동,672,239,,,337,96,,,618,225,,,303,90,,
87,2020,광진구,자양4동,383,175,,,153,55,,,301,148,,,105,48,,
88,2020,동대문구,소계,"8,444","3,709",,204,"2,868","1,267",,396,"6,860","3,178",,148,"2,225","1,064",,245
89,2020,동대문구,회기동,223,74,,,,39,,110,168,67,,,,27,,74
90,2020,동대문구,휘경1동,309,79,,,191,39,,,230,68,,,136,26,,
91,2020,동대문구,휘경2동,627,177,,99,174,134,,43,498,158,,76,146,104,,14
92,2020,동대문구,청량리동,367,142,,,128,58,,39,234,81,,,87,36,,30
93,2020,동대문구,용신동,696,241,,,307,39,,109,501,185,,,215,27,,74
94,2020,동대문구,제기동,579,332,,,171,76,,,413,276,,,82,55,,
