,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
0,2020,합계,합계,"5,370","1,749",27,92,"1,326","1,857",31,288
1,2020,종로구,소계,74,33,2,1,8,3,-,27
2,2020,종로구,사직동,10,1,-,-,1,-,-,8
3,2020,종로구,삼청동,2,1,1,-,-,-,-,-
4,2020,종로구,부암동,3,2,-,-,-,-,-,1
5,2020,종로구,평창동,3,1,-,-,1,1,-,-
6,2020,종로구,무악동,3,3,-,-,-,-,-,-
7,2020,종로구,교남동,5,4,-,-,1,-,-,-
8,2020,종로구,가회동,5,1,-,-,2,-,-,2
9,2020,종로구,종로1.2.3.4가동,11,1,-,1,-,-,-,9
10,2020,종로구,종로5·6가동,5,-,-,-,2,-,-,3
11,2020,종로구,이화동,4,2,-,-,-,-,-,2
12,2020,종로구,창신1동,4,2,1,-,-,1,-,-
13,2020,종로구,창신2동,3,3,-,-,-,-,-,-
14,2020,종로구,창신3동,2,2,-,-,-,-,-,-
15,2020,종로구,숭인1동,2,2,-,-,-,-,-,-
16,2020,종로구,숭인2동,3,2,-,-,-,1,-,-
17,2020,종로구,청운효자동,5,3,-,-,-,-,-,2
18,2020,종로구,혜화동,4,3,-,-,1,-,-,-
19,2020,중구,소계,67,23,-,7,3,12,-,22
20,2020,중구,소공동,4,-,-,-,-,-,-,4
21,2020,중구,회현동,7,1,-,-,-,-,-,6
22,2020,중구,명동,10,-,-,-,-,-,-,10
23,2020,중구,필동,1,1,-,-,-,-,-,-
24,2020,중구,장충동,2,1,-,1,-,-,-,-
25,2020,중구,광희동,2,1,-,-,-,-,-,1
26,2020,중구,을지로동,2,-,-,1,-,-,-,1
27,2020,중구,신당5동,5,2,-,1,1,1,-,-
28,2020,중구,황학동,6,4,-,-,-,2,-,-
29,2020,중구,중림동,7,3,-,1,-,3,-,-
30,2020,중구,신당동,1,1,-,-,-,-,-,-
31,2020,중구,다산동,4,1,-,1,1,1,-,-
32,2020,중구,약수동,8,3,-,2,1,2,-,-
33,2020,중구,청구동,4,2,-,-,-,2,-,-
34,2020,중구,동화동,4,3,-,-,-,1,-,-
35,2020,용산구,소계,116,33,2,7,19,42,1,12
36,2020,용산구,후암동,9,2,1,1,2,3,-,-
37,2020,용산구,용산2가동,2,2,-,-,-,-,-,-
38,2020,용산구,남영동,3,1,1,-,-,-,-,1
39,2020,용산구,원효로2동,8,3,-,1,-,4,-,-
40,2020,용산구,효창동,9,3,-,1,3,2,-,-
41,2020,용산구,용문동,9,2,-,1,2,4,-,-
42,2020,용산구,이촌1동,15,1,-,-,2,12,-,-
43,2020,용산구,이촌2동,5,3,-,-,-,2,-,-
44,2020,용산구,이태원1동,5,-,-,1,1,2,-,1
