기간,자치구,행정동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
2020,종로구,사직동,10,1,0,0,1,0,0,8
2020,종로구,삼청동,2,1,1,0,0,0,0,0
2020,종로구,부암동,3,2,0,0,0,0,0,1
2020,종로구,평창동,3,1,0,0,1,1,0,0
2020,종로구,무악동,3,3,0,0,0,0,0,0
2020,종로구,교남동,5,4,0,0,1,0,0,0
2020,종로구,가회동,5,1,0,0,2,0,0,2
2020,종로구,종로1.2.3.4가동,11,1,0,1,0,0,0,9
2020,종로구,종로5·6가동,5,0,0,0,2,0,0,3
2020,종로구,이화동,4,2,0,0,0,0,0,2
2020,종로구,창신1동,4,2,1,0,0,1,0,0
2020,종로구,창신2동,3,3,0,0,0,0,0,0
2020,종로구,창신3동,2,2,0,0,0,0,0,0
2020,종로구,숭인1동,2,2,0,0,0,0,0,0
2020,종로구,숭인2동,3,2,0,0,0,1,0,0
2020,종로구,청운효자동,5,3,0,0,0,0,0,2
2020,종로구,혜화동,4,3,0,0,1,0,0,0
2020,중구,소공동,4,0,0,0,0,0,0,4
2020,중구,회현동,7,1,0,0,0,0,0,6
2020,중구,명동,10,0,0,0,0,0,0,10
2020,중구,필동,1,1,0,0,0,0,0,0
2020,중구,장충동,2,1,0,1,0,0,0,0
2020,중구,광희동,2,1,0,0,0,0,0,1
2020,중구,을지로동,2,0,0,1,0,0,0,1
2020,중구,신당5동,5,2,0,1,1,1,0,0
2020,중구,황학동,6,4,0,0,0,2,0,0
2020,중구,중림동,7,3,0,1,0,3,0,0
2020,중구,신당동,1,1,0,0,0,0,0,0
2020,중구,다산동,4,1,0,1,1,1,0,0
2020,중구,약수동,8,3,0,2,1,2,0,0
2020,중구,청구동,4,2,0,0,0,2,0,0
2020,중구,동화동,4,3,0,0,0,1,0,0
2020,용산구,후암동,9,2,1,1,2,3,0,0
2020,용산구,용산2가동,2,2,0,0,0,0,0,0
2020,용산구,남영동,3,1,1,0,0,0,0,1
2020,용산구,원효로2동,8,3,0,1,0,4,0,0
2020,용산구,효창동,9,3,0,1,3,2,0,0
2020,용산구,용문동,9,2,0,1,2,4,0,0
2020,용산구,이촌1동,15,1,0,0,2,12,0,0
2020,용산구,이촌2동,5,3,0,0,0,2,0,0
2020,용산구,이태원1동,5,0,0,1,1,2,0,1
2020,용산구,이태원2동,3,3,0,0,0,0,0,0
2020,용산구,서빙고동,8,2,0,0,1,4,0,1
2020,용산구,보광동,5,2,0,0,1,2,0,0
2020,용산구,청파동,10,2,0,1,4,2,0,1
2020,용산구,원효로1동,10,3,0,1,2,3,1,0
2020,용산구,한강로동,8,2,0,0,0,1,0,5
2020,용산구,한남동,7,2,0,0,1,1,0,3
2020,성동구,왕십리2동,11,7,0,0,1,3,0,0
2020,성동구,마장동,14,6,0,0,2,6,0,0
2020,성동구,사근동,3,2,0,0,0,0,0,1
2020,성동구,행당1동,9,5,0,0,0,3,0,1
2020,성동구,행당2동,15,3,0,0,1,11,0,0
2020,성동구,응봉동,7,3,0,1,0,3,0,0
2020,성동구,금호1가동,12,5,0,1,1,5,0,0
2020,성동구,금호4가동,11,3,0,0,2,6,0,0
2020,성동구,성수1가1동,7,4,0,1,2,0,0,0
2020,성동구,성수1가2동,8,3,0,0,2,2,0,1
2020,성동구,성수2가1동,6,2,0,0,3,0,0,1
2020,성동구,성수2가3동,8,4,0,0,1,1,0,2
2020,성동구,송정동,5,2,0,0,2,1,0,0
2020,성동구,용답동,6,2,0,0,3,0,0,1
2020,성동구,왕십리도선동,20,11,0,0,2,6,0,1
2020,성동구,금호2.3가동,15,9,0,0,3,3,0,0
2020,성동구,옥수동,16,10,0,0,0,6,0,0
2020,광진구,화양동,6,2,0,0,3,1,0,0
2020,광진구,군자동,11,4,0,0,4,2,0,1
2020,광진구,중곡1동,3,2,0,0,0,1,0,0
2020,광진구,중곡2동,12,4,0,0,6,2,0,0
2020,광진구,중곡3동,12,2,0,0,10,0,0,0
2020,광진구,중곡4동,16,3,0,0,6,7,0,0
2020,광진구,능동,5,3,0,0,0,2,0,0
2020,광진구,구의1동,7,2,0,0,5,0,0,0
2020,광진구,구의2동,16,3,0,0,8,3,1,1
2020,광진구,구의3동,18,6,0,0,3,9,0,0
2020,광진구,광장동,18,8,0,0,2,7,0,1
2020,광진구,자양1동,12,2,0,0,6,3,0,1
2020,광진구,자양2동,16,4,0,0,6,6,0,0
2020,광진구,자양3동,15,4,0,0,6,5,0,0
2020,광진구,자양4동,9,3,0,0,3,3,0,0
2020,동대문구,회기동,7,2,0,0,0,2,0,3
2020,동대문구,휘경1동,8,2,0,0,4,2,0,0
2020,동대문구,휘경2동,17,4,0,1,4,7,0,1
2020,동대문구,청량리동,9,3,0,0,2,3,0,1
2020,동대문구,용신동,15,4,0,0,7,2,0,2
2020,동대문구,제기동,13,7,0,0,2,4,0,0
2020,동대문구,전농1동,16,7,0,1,5,3,0,0
2020,동대문구,전농2동,13,6,0,0,2,4,0,1
2020,동대문구,답십리2동,19,6,0,1,7,5,0,0
2020,동대문구,장안1동,26,10,0,0,4,12,0,0
2020,동대문구,장안2동,20,7,0,0,4,9,0,0
2020,동대문구,이문1동,8,4,0,0,1,2,0,1
2020,동대문구,이문2동,14,6,0,0,3,5,0,0
2020,동대문구,답십리1동,16,8,0,0,3,5,0,0
2020,중랑구,면목2동,12,2,0,0,7,3,0,0
2020,중랑구,면목4동,9,2,0,0,5,2,0,0
2020,중랑구,면목5동,5,3,0,0,2,0,0,0
2020,중랑구,면목7동,12,4,0,0,5,3,0,0
2020,중랑구,상봉1동,13,5,0,0,2,6,0,0
2020,중랑구,상봉2동,6,1,0,1,3,0,0,1
2020,중랑구,중화1동,15,3,0,0,4,8,0,0
2020,중랑구,중화2동,8,3,0,0,3,2,0,0
2020,중랑구,묵1동,23,5,0,1,6,11,0,0
2020,중랑구,묵2동,11,3,0,0,5,3,0,0
2020,중랑구,망우3동,9,1,0,0,8,0,0,0
2020,중랑구,신내1동,35,11,0,1,6,15,1,1
2020,중랑구,신내2동,21,4,0,1,2,13,0,1
2020,중랑구,면목본동,12,2,0,0,8,2,0,0
2020,중랑구,면목3.8동,13,6,0,0,4,3,0,0
2020,중랑구,망우본동,16,5,0,0,9,2,0,0
2020,성북구,돈암1동,7,0,0,1,3,3,0,0
2020,성북구,돈암2동,13,7,0,0,0,6,0,0
2020,성북구,안암동,8,4,0,0,0,1,0,3
2020,성북구,보문동,6,2,0,1,3,0,0,0
2020,성북구,정릉1동,12,6,0,0,5,1,0,0
2020,성북구,정릉2동,12,2,0,0,4,5,1,0
2020,성북구,정릉3동,6,3,0,3,0,0,0,0
2020,성북구,정릉4동,15,7,0,2,2,4,0,0
2020,성북구,길음1동,30,5,0,0,6,18,1,0
2020,성북구,길음2동,9,5,0,0,1,3,0,0
2020,성북구,월곡1동,19,6,1,1,2,9,0,0
2020,성북구,월곡2동,13,5,0,1,2,4,0,1
2020,성북구,장위1동,9,4,0,0,3,2,0,0
2020,성북구,장위2동,7,1,0,1,4,1,0,0
2020,성북구,장위3동,13,4,0,1,3,5,0,0
2020,성북구,성북동,5,2,1,0,1,1,0,0
2020,성북구,삼선동,9,5,0,0,1,2,0,1
2020,성북구,동선동,6,3,0,2,1,0,0,0
2020,성북구,종암동,28,10,0,1,11,6,0,0
2020,성북구,석관동,19,7,0,0,4,8,0,0
2020,강북구,번1동,9,4,0,0,2,2,0,1
