기간,자치구,행정동,계_정원,국공립_정원,사회복지법인_정원,법인·단체 등_정원,민간_정원,가정_정원,부모협동_정원,직장_정원,계_현원,국공립_현원,사회복지법인_현원,법인·단체 등_현원,민간_현원,가정_현원,부모협동_현원,직장_현원
2020,종로구,사직동,727,101,0,0,58,0,0,568,570,80,0,0,50,0,0,440
2020,종로구,삼청동,55,32,23,0,0,0,0,0,39,23,16,0,0,0,0,0
2020,종로구,부암동,154,131,0,0,0,0,0,23,125,113,0,0,0,0,0,12
2020,종로구,평창동,175,123,0,0,33,19,0,0,160,115,0,0,28,17,0,0
2020,종로구,무악동,240,240,0,0,0,0,0,0,199,199,0,0,0,0,0,0
2020,종로구,교남동,284,245,0,0,39,0,0,0,243,205,0,0,38,0,0,0
2020,종로구,가회동,227,49,0,0,80,0,0,98,158,39,0,0,61,0,0,58
2020,종로구,종로1.2.3.4가동,666,97,0,49,0,0,0,520,415,70,0,33,0,0,0,312
2020,종로구,종로5·6가동,247,0,0,0,104,0,0,143,140,0,0,0,55,0,0,85
2020,종로구,이화동,235,132,0,0,0,0,0,103,114,56,0,0,0,0,0,58
2020,종로구,창신1동,180,83,77,0,0,20,0,0,98,43,39,0,0,16,0,0
2020,종로구,창신2동,232,232,0,0,0,0,0,0,130,130,0,0,0,0,0,0
2020,종로구,창신3동,116,116,0,0,0,0,0,0,74,74,0,0,0,0,0,0
2020,종로구,숭인1동,117,117,0,0,0,0,0,0,100,100,0,0,0,0,0,0
2020,종로구,숭인2동,125,114,0,0,0,11,0,0,93,87,0,0,0,6,0,0
2020,종로구,청운효자동,656,170,0,0,0,0,0,486,429,127,0,0,0,0,0,302
2020,종로구,혜화동,264,234,0,0,30,0,0,0,176,154,0,0,22,0,0,0
2020,중구,소공동,400,0,0,0,0,0,0,400,317,0,0,0,0,0,0,317
2020,중구,회현동,348,93,0,0,0,0,0,255,220,83,0,0,0,0,0,137
2020,중구,명동,713,0,0,0,0,0,0,713,468,0,0,0,0,0,0,468
2020,중구,필동,79,79,0,0,0,0,0,0,69,69,0,0,0,0,0,0
2020,중구,장충동,97,48,0,49,0,0,0,0,88,42,0,46,0,0,0,0
2020,중구,광희동,219,99,0,0,0,0,0,120,142,58,0,0,0,0,0,84
2020,중구,을지로동,119,0,0,49,0,0,0,70,74,0,0,32,0,0,0,42
2020,중구,신당5동,326,203,0,34,74,15,0,0,249,156,0,18,67,8,0,0
2020,중구,황학동,289,249,0,0,0,40,0,0,258,218,0,0,0,40,0,0
2020,중구,중림동,357,225,0,74,0,58,0,0,314,203,0,58,0,53,0,0
2020,중구,신당동,124,124,0,0,0,0,0,0,118,118,0,0,0,0,0,0
2020,중구,다산동,309,195,0,49,52,13,0,0,183,101,0,44,29,9,0,0
2020,중구,약수동,495,261,0,83,111,40,0,0,406,209,0,72,90,35,0,0
2020,중구,청구동,180,141,0,0,0,39,0,0,142,107,0,0,0,35,0,0
2020,중구,동화동,250,235,0,0,0,15,0,0,192,187,0,0,0,5,0,0
2020,용산구,후암동,480,153,52,49,167,59,0,0,403,143,47,42,127,44,0,0
2020,용산구,용산2가동,141,141,0,0,0,0,0,0,115,115,0,0,0,0,0,0
2020,용산구,남영동,131,45,37,0,0,0,0,49,113,43,31,0,0,0,0,39
2020,용산구,원효로2동,311,191,0,40,0,80,0,0,246,163,0,16,0,67,0,0
2020,용산구,효창동,391,124,0,20,214,33,0,0,327,116,0,19,172,20,0,0
2020,용산구,용문동,365,90,0,40,156,79,0,0,293,83,0,33,124,53,0,0
2020,용산구,이촌1동,367,22,0,0,108,237,0,0,345,22,0,0,99,224,0,0
2020,용산구,이촌2동,195,155,0,0,0,40,0,0,164,135,0,0,0,29,0,0
2020,용산구,이태원1동,230,0,0,52,65,40,0,73,212,0,0,47,60,35,0,70
2020,용산구,이태원2동,129,129,0,0,0,0,0,0,108,108,0,0,0,0,0,0
2020,용산구,서빙고동,296,166,0,0,22,69,0,39,217,138,0,0,4,59,0,16
2020,용산구,보광동,275,193,0,0,42,40,0,0,207,145,0,0,32,30,0,0
2020,용산구,청파동,560,168,0,84,191,37,0,80,447,147,0,72,155,15,0,58
2020,용산구,원효로1동,325,133,0,30,71,58,33,0,301,127,0,22,66,55,31,0
2020,용산구,한강로동,609,162,0,0,0,20,0,427,511,146,0,0,0,20,0,345
2020,용산구,한남동,364,145,0,0,49,20,0,150,313,139,0,0,49,19,0,106
2020,성동구,왕십리2동,441,336,0,0,48,57,0,0,383,312,0,0,33,38,0,0
2020,성동구,마장동,633,423,0,0,98,112,0,0,508,365,0,0,52,91,0,0
2020,성동구,사근동,189,108,0,0,0,0,0,81,160,92,0,0,0,0,0,68
2020,성동구,행당1동,448,340,0,0,0,59,0,49,363,280,0,0,0,48,0,35
2020,성동구,행당2동,523,215,0,0,99,209,0,0,439,188,0,0,73,178,0,0
2020,성동구,응봉동,252,114,0,79,0,59,0,0,151,78,0,23,0,50,0,0
2020,성동구,금호1가동,625,369,0,79,80,97,0,0,527,323,0,79,50,75,0,0
2020,성동구,금호4가동,405,164,0,0,122,119,0,0,314,136,0,0,95,83,0,0
2020,성동구,성수1가1동,350,237,0,44,69,0,0,0,275,201,0,26,48,0,0,0
2020,성동구,성수1가2동,347,133,0,0,126,39,0,49,252,110,0,0,82,35,0,25
2020,성동구,성수2가1동,239,88,0,0,123,0,0,28,212,69,0,0,118,0,0,25
2020,성동구,성수2가3동,324,146,0,0,79,20,0,79,239,119,0,0,79,12,0,29
2020,성동구,송정동,286,183,0,0,84,19,0,0,189,127,0,0,53,9,0,0
2020,성동구,용답동,548,263,0,0,236,0,0,49,417,206,0,0,191,0,0,20
2020,성동구,왕십리도선동,925,626,0,0,133,118,0,48,716,512,0,0,73,104,0,27
2020,성동구,금호2.3가동,673,455,0,0,160,58,0,0,527,345,0,0,127,55,0,0
2020,성동구,옥수동,758,640,0,0,0,118,0,0,636,524,0,0,0,112,0,0
2020,광진구,화양동,287,120,0,0,147,20,0,0,201,91,0,0,93,17,0,0
2020,광진구,군자동,505,241,0,0,195,38,0,31,374,205,0,0,132,28,0,9
2020,광진구,중곡1동,163,147,0,0,0,16,0,0,143,127,0,0,0,16,0,0
2020,광진구,중곡2동,521,208,0,0,274,39,0,0,433,188,0,0,214,31,0,0
2020,광진구,중곡3동,904,236,0,0,668,0,0,0,628,189,0,0,439,0,0,0
2020,광진구,중곡4동,783,171,0,0,483,129,0,0,571,157,0,0,354,60,0,0
2020,광진구,능동,215,175,0,0,0,40,0,0,179,147,0,0,0,32,0,0
2020,광진구,구의1동,417,135,0,0,282,0,0,0,325,102,0,0,223,0,0,0
2020,광진구,구의2동,657,152,0,0,350,57,49,49,508,139,0,0,269,54,31,15
2020,광진구,구의3동,574,277,0,0,122,175,0,0,487,238,0,0,89,160,0,0
2020,광진구,광장동,510,242,0,0,83,136,0,49,449,231,0,0,76,106,0,36
2020,광진구,자양1동,658,161,0,0,387,58,0,52,507,136,0,0,308,27,0,36
2020,광진구,자양2동,558,196,0,0,249,113,0,0,424,174,0,0,177,73,0,0
2020,광진구,자양3동,672,239,0,0,337,96,0,0,618,225,0,0,303,90,0,0
2020,광진구,자양4동,383,175,0,0,153,55,0,0,301,148,0,0,105,48,0,0
2020,동대문구,회기동,223,74,0,0,0,39,0,110,168,67,0,0,0,27,0,74
2020,동대문구,휘경1동,309,79,0,0,191,39,0,0,230,68,0,0,136,26,0,0
2020,동대문구,휘경2동,627,177,0,99,174,134,0,43,498,158,0,76,146,104,0,14
2020,동대문구,청량리동,367,142,0,0,128,58,0,39,234,81,0,0,87,36,0,30
2020,동대문구,용신동,696,241,0,0,307,39,0,109,501,185,0,0,215,27,0,74
2020,동대문구,제기동,579,332,0,0,171,76,0,0,413,276,0,0,82,55,0,0
2020,동대문구,전농1동,724,371,0,49,247,57,0,0,618,339,0,26,199,54,0,0
2020,동대문구,전농2동,490,220,0,0,127,78,0,65,390,199,0,0,83,70,0,38
2020,동대문구,답십리2동,842,227,0,56,459,100,0,0,709,197,0,46,371,95,0,0
2020,동대문구,장안1동,1166,692,0,0,237,237,0,0,1081,648,0,0,211,222,0,0
2020,동대문구,장안2동,779,391,0,0,210,178,0,0,676,340,0,0,187,149,0,0
2020,동대문구,이문1동,341,101,0,0,170,40,0,30,234,98,0,0,88,33,0,15
2020,동대문구,이문2동,569,235,0,0,234,100,0,0,489,198,0,0,214,77,0,0
2020,동대문구,답십리1동,732,427,0,0,213,92,0,0,619,324,0,0,206,89,0,0
2020,중랑구,면목2동,745,141,0,0,548,56,0,0,529,123,0,0,357,49,0,0
2020,중랑구,면목4동,502,195,0,0,268,39,0,0,356,166,0,0,157,33,0,0
2020,중랑구,면목5동,290,162,0,0,128,0,0,0,243,156,0,0,87,0,0,0
2020,중랑구,면목7동,608,195,0,0,363,50,0,0,500,168,0,0,295,37,0,0
2020,중랑구,상봉1동,517,273,0,0,129,115,0,0,437,234,0,0,119,84,0,0
2020,중랑구,상봉2동,479,101,0,151,167,0,0,60,356,67,0,123,138,0,0,28
2020,중랑구,중화1동,520,179,0,0,191,150,0,0,427,131,0,0,159,137,0,0
2020,중랑구,중화2동,472,252,0,0,183,37,0,0,379,208,0,0,151,20,0,0
2020,중랑구,묵1동,963,331,0,39,399,194,0,0,719,282,0,25,260,152,0,0
2020,중랑구,묵2동,469,131,0,0,279,59,0,0,361,114,0,0,190,57,0,0
2020,중랑구,망우3동,537,94,0,0,443,0,0,0,386,85,0,0,301,0,0,0
2020,중랑구,신내1동,1532,681,0,20,433,299,26,73,1273,572,0,17,358,242,24,60
2020,중랑구,신내2동,610,95,0,66,153,197,0,99,518,90,0,64,126,143,0,95
2020,중랑구,면목본동,788,221,0,0,533,34,0,0,680,193,0,0,461,26,0,0
2020,중랑구,면목3.8동,770,502,0,0,217,51,0,0,662,415,0,0,210,37,0,0
2020,중랑구,망우본동,850,312,0,0,499,39,0,0,622,264,0,0,323,35,0,0
2020,성북구,돈암1동,241,0,0,67,115,59,0,0,178,0,0,53,86,39,0,0
2020,성북구,돈암2동,497,384,0,0,0,113,0,0,447,342,0,0,0,105,0,0
2020,성북구,안암동,389,234,0,0,0,10,0,145,259,160,0,0,0,2,0,97
2020,성북구,보문동,354,111,0,79,164,0,0,0,280,85,0,61,134,0,0,0
2020,성북구,정릉1동,502,187,0,0,296,19,0,0,433,164,0,0,250,19,0,0
2020,성북구,정릉2동,295,40,0,0,127,98,30,0,220,37,0,0,102,59,22,0
2020,성북구,정릉3동,446,253,0,193,0,0,0,0,345,180,0,165,0,0,0,0
2020,성북구,정릉4동,717,356,0,185,106,70,0,0,627,322,0,156,86,63,0,0
2020,성북구,길음1동,984,326,0,0,292,347,19,0,759,269,0,0,234,238,18,0
2020,성북구,길음2동,373,250,0,0,64,59,0,0,329,216,0,0,60,53,0,0
2020,성북구,월곡1동,715,278,79,99,86,173,0,0,588,256,75,89,62,106,0,0
2020,성북구,월곡2동,554,290,0,44,71,79,0,70,429,227,0,42,53,63,0,44
2020,성북구,장위1동,402,231,0,0,131,40,0,0,247,127,0,0,80,40,0,0
2020,성북구,장위2동,398,42,0,74,262,20,0,0,302,39,0,69,176,18,0,0
2020,성북구,장위3동,528,230,0,20,182,96,0,0,456,215,0,16,139,86,0,0
2020,성북구,성북동,231,161,30,0,27,13,0,0,189,149,17,0,10,13,0,0
2020,성북구,삼선동,412,248,0,0,75,40,0,49,292,181,0,0,37,35,0,39
2020,성북구,동선동,293,157,0,90,46,0,0,0,236,124,0,74,38,0,0,0
2020,성북구,종암동,1099,429,0,46,506,118,0,0,776,327,0,45,329,75,0,0
2020,성북구,석관동,661,358,0,0,155,148,0,0,555,295,0,0,130,130,0,0
2020,강북구,번1동,369,173,0,0,111,36,0,49,275,165,0,0,73,18,0,19
2020,강북구,번2동,464,176,0,0,254,34,0,0,380,148,0,0,205,27,0,0
2020,강북구,번3동,446,81,74,0,213,78,0,0,340,77,51,0,152,60,0,0
2020,강북구,수유1동,798,109,0,0,677,12,0,0,590,85,0,0,498,7,0,0
2020,강북구,수유2동,661,127,0,0,495,39,0,0,530,106,0,0,403,21,0,0
2020,강북구,수유3동,482,49,0,49,332,0,0,52,368,25,0,36,270,0,0,37
2020,강북구,삼양동,742,419,0,70,175,78,0,0,533,323,0,39,111,60,0,0
2020,강북구,미아동,399,198,0,0,183,18,0,0,283,158,0,0,111,14,0,0
2020,강북구,송중동,724,405,0,0,304,15,0,0,600,342,0,0,250,8,0,0
2020,강북구,송천동,482,152,0,0,297,33,0,0,366,135,0,0,201,30,0,0
2020,강북구,삼각산동,1091,454,0,0,538,99,0,0,879,362,0,0,446,71,0,0
2020,강북구,우이동,696,175,0,0,494,0,27,0,597,167,0,0,407,0,23,0
2020,강북구,인수동,394,329,0,0,49,0,16,0,338,290,0,0,48,0,0,0
2020,도봉구,쌍문1동,632,79,0,0,498,55,0,0,377,79,0,0,265,33,0,0
2020,도봉구,쌍문2동,529,216,0,0,236,77,0,0,489,194,0,0,228,67,0,0
2020,도봉구,쌍문3동,591,99,0,0,443,49,0,0,459,85,0,0,341,33,0,0
2020,도봉구,쌍문4동,274,97,0,0,47,130,0,0,210,78,0,0,39,93,0,0
2020,도봉구,방학1동,665,343,0,40,135,53,0,94,517,308,0,24,60,36,0,89
2020,도봉구,방학2동,842,135,0,0,687,20,0,0,635,98,0,0,522,15,0,0
2020,도봉구,방학3동,596,272,0,0,67,228,29,0,473,240,0,0,66,138,29,0
2020,도봉구,창1동,557,213,0,0,206,138,0,0,428,180,0,0,132,116,0,0
2020,도봉구,창2동,971,213,0,0,647,111,0,0,700,194,0,0,430,76,0,0
2020,도봉구,창3동,520,196,33,27,244,20,0,0,355,162,26,24,128,15,0,0
2020,도봉구,창4동,703,299,0,0,131,173,0,100,510,268,0,0,87,128,0,27
2020,도봉구,창5동,617,170,0,0,326,121,0,0,520,160,0,0,284,76,0,0
2020,도봉구,도봉1동,469,149,0,0,301,19,0,0,383,120,0,0,255,8,0,0
2020,도봉구,도봉2동,845,402,0,0,170,203,0,70,645,339,0,0,112,145,0,49
2020,노원구,월계1동,590,268,0,0,186,136,0,0,491,233,0,0,156,102,0,0
2020,노원구,월계2동,542,382,0,0,0,160,0,0,456,326,0,0,0,130,0,0
2020,노원구,월계3동,683,231,0,0,0,452,0,0,560,206,0,0,0,354,0,0
2020,노원구,공릉2동,1336,538,0,0,332,261,0,205,1035,476,0,0,230,208,0,121
2020,노원구,하계1동,590,465,0,0,39,86,0,0,412,295,0,0,37,80,0,0
2020,노원구,하계2동,335,139,0,0,59,137,0,0,288,131,0,0,44,113,0,0
2020,노원구,중계본동,347,251,0,0,28,68,0,0,253,193,0,0,12,48,0,0
2020,노원구,중계1동,436,202,0,0,201,33,0,0,395,187,0,0,177,31,0,0
2020,노원구,중계4동,215,71,20,0,0,124,0,0,176,58,19,0,0,99,0,0
2020,노원구,상계1동,1095,464,128,0,330,143,30,0,869,392,88,0,240,134,15,0
2020,노원구,상계2동,726,164,0,0,486,19,0,57,650,157,0,0,435,18,0,40
2020,노원구,상계5동,353,95,0,0,191,67,0,0,282,89,0,0,150,43,0,0
2020,노원구,상계8동,781,263,0,0,38,431,0,49,601,250,0,0,28,294,0,29
2020,노원구,상계9동,393,137,0,0,0,256,0,0,314,124,0,0,0,190,0,0
2020,노원구,상계10동,395,190,0,0,0,205,0,0,253,94,0,0,0,159,0,0
2020,노원구,상계3.4동,820,399,20,0,342,59,0,0,634,341,20,0,217,56,0,0
2020,노원구,상계6.7동,694,130,0,0,163,352,0,49,603,123,0,0,143,290,0,47
2020,노원구,중계2.3동,620,281,40,0,0,299,0,0,537,247,36,0,0,254,0,0
2020,노원구,공릉1동,766,230,0,0,371,165,0,0,624,197,0,0,301,126,0,0
2020,은평구,녹번동,1302,467,0,80,605,76,0,74,1153,419,0,71,539,54,0,70
2020,은평구,불광1동,1004,273,0,0,559,132,0,40,718,240,0,0,359,96,0,23
2020,은평구,갈현1동,576,125,0,52,382,17,0,0,392,98,0,37,240,17,0,0
2020,은평구,갈현2동,761,259,0,0,444,38,20,0,548,197,0,0,303,32,16,0
2020,은평구,구산동,801,287,0,20,474,20,0,0,616,264,0,18,314,20,0,0
2020,은평구,대조동,700,99,0,40,508,53,0,0,563,83,0,19,432,29,0,0
2020,은평구,응암1동,1065,345,0,0,700,20,0,0,920,298,0,0,622,0,0,0
2020,은평구,응암2동,964,578,0,0,270,116,0,0,870,506,0,0,255,109,0,0
2020,은평구,신사1동,796,91,0,0,648,57,0,0,533,82,0,0,420,31,0,0
2020,은평구,신사2동,559,111,0,0,448,0,0,0,445,100,0,0,345,0,0,0
2020,은평구,증산동,358,99,0,0,106,153,0,0,288,88,0,0,89,111,0,0
2020,은평구,수색동,141,88,0,0,0,53,0,0,97,69,0,0,0,28,0,0
2020,은평구,진관동,1645,562,0,0,943,80,0,60,1143,456,0,0,594,68,0,25
2020,은평구,불광2동,473,190,0,0,245,38,0,0,348,159,0,0,163,26,0,0
2020,은평구,응암3동,567,111,0,48,408,0,0,0,445,105,0,33,307,0,0,0
2020,은평구,역촌동,1189,419,0,116,528,126,0,0,1003,370,0,103,444,86,0,0
2020,서대문구,천연동,504,116,0,0,356,32,0,0,398,94,0,0,279,25,0,0
2020,서대문구,홍제1동,564,286,0,0,186,92,0,0,478,231,0,0,177,70,0,0
2020,서대문구,홍제3동,445,268,0,0,139,38,0,0,386,237,0,0,112,37,0,0
2020,서대문구,홍제2동,308,195,0,0,75,38,0,0,229,171,0,0,22,36,0,0
2020,서대문구,홍은1동,320,142,0,0,91,58,29,0,242,132,0,0,35,55,20,0
2020,서대문구,홍은2동,250,102,0,0,134,14,0,0,205,99,0,0,92,14,0,0
2020,서대문구,남가좌1동,470,341,0,0,32,97,0,0,455,330,0,0,32,93,0,0
2020,서대문구,남가좌2동,754,399,0,0,247,108,0,0,660,337,0,0,222,101,0,0
2020,서대문구,북가좌1동,421,330,0,0,0,91,0,0,403,316,0,0,0,87,0,0
2020,서대문구,북가좌2동,496,168,0,0,279,49,0,0,435,154,0,0,238,43,0,0
2020,서대문구,충현동,461,65,0,30,257,19,0,90,422,60,0,23,241,18,0,80
2020,서대문구,북아현동,644,433,0,0,211,0,0,0,556,397,0,0,159,0,0,0
2020,서대문구,신촌동,495,88,0,52,0,0,0,355,353,65,0,50,0,0,0,238
2020,서대문구,연희동,677,288,0,0,292,18,0,79,532,241,0,0,218,15,0,58
2020,마포구,용강동,439,247,0,49,44,99,0,0,405,229,0,35,44,97,0,0
2020,마포구,대흥동,274,274,0,0,0,0,0,0,205,205,0,0,0,0,0,0
2020,마포구,염리동,294,182,0,0,92,20,0,0,199,153,0,0,39,7,0,0
2020,마포구,신수동,548,389,0,0,81,78,0,0,473,358,0,0,64,51,0,0
2020,마포구,서교동,404,367,0,0,0,37,0,0,312,282,0,0,0,30,0,0
2020,마포구,합정동,407,214,0,0,0,70,38,85,307,185,0,0,0,43,32,47
2020,마포구,망원1동,533,212,0,0,223,98,0,0,427,159,0,0,196,72,0,0
2020,마포구,망원2동,457,126,0,0,213,118,0,0,419,117,0,0,200,102,0,0
2020,마포구,연남동,210,75,0,0,96,39,0,0,164,56,0,0,69,39,0,0
2020,마포구,성산1동,213,49,0,0,49,39,76,0,192,49,0,0,43,25,75,0
2020,마포구,성산2동,1074,360,0,40,311,216,39,108,909,313,0,34,254,187,32,89
2020,마포구,상암동,1379,615,0,29,138,38,0,559,1104,548,0,27,110,36,0,383
2020,마포구,도화동,461,252,0,0,0,134,0,75,395,225,0,0,0,115,0,55
2020,마포구,서강동,703,414,0,49,240,0,0,0,618,352,0,31,235,0,0,0
2020,마포구,공덕동,747,406,0,0,196,110,0,35,581,309,0,0,177,77,0,18
2020,마포구,아현동,950,518,0,0,216,97,0,119,749,388,0,0,194,91,0,76
2020,양천구,목1동,348,149,0,0,49,113,0,37,308,133,0,0,42,105,0,28
2020,양천구,목2동,742,275,0,0,321,146,0,0,605,222,0,0,263,120,0,0
2020,양천구,목3동,566,237,0,43,188,98,0,0,464,201,0,37,152,74,0,0
2020,양천구,목4동,465,196,0,0,197,72,0,0,372,156,0,0,165,51,0,0
2020,양천구,신월1동,794,203,0,0,467,124,0,0,566,171,0,0,318,77,0,0
2020,양천구,신월2동,801,226,0,0,309,266,0,0,653,202,0,0,253,198,0,0
2020,양천구,신월3동,556,231,0,0,183,85,0,57,355,183,0,0,70,45,0,57
2020,양천구,신월4동,653,213,0,0,236,204,0,0,506,209,0,0,162,135,0,0
2020,양천구,신월5동,508,224,0,0,159,93,16,16,354,178,0,0,116,39,9,12
2020,양천구,신월6동,509,256,0,0,202,51,0,0,459,239,0,0,180,40,0,0
2020,양천구,신월7동,612,170,0,0,378,64,0,0,472,137,0,0,280,55,0,0
2020,양천구,신정1동,358,175,0,0,31,92,0,60,304,169,0,0,26,85,0,24
2020,양천구,신정2동,364,164,0,0,72,128,0,0,322,159,0,0,65,98,0,0
2020,양천구,신정3동,1248,738,0,0,217,293,0,0,890,595,0,0,122,173,0,0
2020,양천구,신정6동,436,69,0,0,206,97,0,64,385,65,0,0,178,86,0,56
2020,양천구,신정7동,722,505,0,0,0,181,0,36,591,412,0,0,0,149,0,30
2020,양천구,목5동,641,268,0,0,167,157,0,49,574,238,0,0,157,138,0,41
2020,양천구,신정4동,1117,409,0,0,537,106,0,65,786,350,0,0,330,69,0,37
2020,강서구,염창동,1404,336,0,0,659,290,0,119,1117,308,0,0,500,238,0,71
2020,강서구,등촌1동,505,144,0,0,124,89,0,148,450,125,0,0,122,82,0,121
2020,강서구,등촌2동,364,77,0,0,214,58,15,0,309,73,0,0,185,43,8,0
2020,강서구,등촌3동,656,468,0,0,32,107,49,0,523,357,0,0,27,91,48,0
2020,강서구,화곡본동,1433,263,0,59,972,104,35,0,1006,218,0,44,659,60,25,0
2020,강서구,화곡2동,602,372,0,60,104,66,0,0,516,320,0,57,79,60,0,0
2020,강서구,화곡3동,561,170,0,114,189,88,0,0,468,159,0,83,158,68,0,0
2020,강서구,화곡4동,616,79,0,0,446,91,0,0,429,67,0,0,300,62,0,0
2020,강서구,화곡6동,617,120,0,0,394,19,35,49,472,91,0,0,313,16,19,33
2020,강서구,화곡8동,554,181,0,0,283,90,0,0,400,152,0,0,184,64,0,0
2020,강서구,가양1동,1029,191,0,0,110,196,0,532,881,164,0,0,103,152,0,462
2020,강서구,가양2동,352,282,0,0,39,31,0,0,240,191,0,0,21,28,0,0
2020,강서구,가양3동,347,111,0,0,144,92,0,0,247,83,0,0,103,61,0,0
2020,강서구,발산1동,1265,375,99,0,473,288,0,30,935,330,47,0,347,196,0,15
2020,강서구,공항동,948,440,173,0,0,250,0,85,782,389,154,0,0,179,0,60
2020,강서구,방화1동,1391,632,0,0,356,403,0,0,1126,578,0,0,244,304,0,0
2020,강서구,방화2동,507,189,0,0,224,94,0,0,441,167,0,0,208,66,0,0
2020,강서구,방화3동,680,172,0,0,422,86,0,0,510,151,0,0,280,79,0,0
2020,강서구,화곡1동,1156,275,0,0,769,112,0,0,907,235,0,0,565,107,0,0
2020,강서구,우장산동,1075,343,0,0,382,331,0,19,761,259,0,0,219,273,0,10
2020,구로구,신도림동,995,251,0,0,445,299,0,0,859,246,0,0,374,239,0,0
2020,구로구,구로1동,721,236,0,63,27,308,0,87,616,223,0,63,27,243,0,60
2020,구로구,구로3동,789,359,0,153,82,97,0,98,634,325,0,126,53,70,0,60
2020,구로구,구로4동,586,312,0,0,118,156,0,0,508,276,0,0,102,130,0,0
