"통계연도","자치구코드","자치구명","구분","구분명","소계","아동수_국공립","아동수_사회복지법인","아동수_법인단체등","아동수_민간","아동수_가정","아동수_부모협동","아동수_직장"
"2020","11000","계","1","아동정원수","245863","101037","1861","5427","82308","33972","973","20285"
"2020","11740","강동","2","아동현원수","10860","4325","82","143","4451","1544","18","297"
"2020","11740","강동","1","아동정원수","13025","4958","87","165","5598","1817","20","380"
"2020","11710","송파","3","정원충족률","85.95%","88.84%","88.61%","89.66%","82.88%","89.79%","75.%","79.29%"
"2020","11710","송파","2","아동현원수","14346","5475","70","104","5135","2427","36","1099"
"2020","11710","송파","1","아동정원수","16691","6163","79","116","6196","2703","48","1386"
"2020","11680","강남","3","정원충족률","75.41%","83.05%","0.%","0.%","72.76%","79.42%","81.16%","58.78%"
"2020","11680","강남","2","아동현원수","8202","4028","0","0","2131","795","56","1192"
"2020","11680","강남","1","아동정원수","10877","4850","0","0","2929","1001","69","2028"
"2020","11650","서초","3","정원충족률","79.79%","85.08%","0.%","75.95%","78.14%","89.59%","68.29%","65.49%"
"2020","11650","서초","2","아동현원수","8310","4402","0","180","1455","792","56","1425"
"2020","11650","서초","1","아동정원수","10415","5174","0","237","1862","884","82","2176"
"2020","11620","관악","3","정원충족률","78.51%","85.13%","10.98%","74.93%","71.84%","77.32%","50.%","74.8%"
"2020","11620","관악","2","아동현원수","7978","4054","9","281","2202","958","8","466"
"2020","11620","관악","1","아동정원수","10162","4762","82","375","3065","1239","16","623"
"2020","11590","동작","3","정원충족률","81.34%","86.44%","34.94%","88.12%","79.55%","73.4%","85.71%","73.04%"
"2020","11590","동작","2","아동현원수","7293","3678","29","89","2190","1032","42","233"
"2020","11590","동작","1","아동정원수","8966","4255","83","101","2753","1406","49","319"
"2020","11560","영등포","3","정원충족률","82.39%","86.86%","76.42%","57.58%","79.23%","86.36%","0.%","77.67%"
"2020","11560","영등포","2","아동현원수","9841","3860","94","38","2339","1235","0","2275"
"2020","11560","영등포","1","아동정원수","11944","4444","123","66","2952","1430","0","2929"
"2020","11545","금천","3","정원충족률","74.57%","81.97%","86.55%","68.53%","70.65%","72.43%","0.%","54.48%"
"2020","11545","금천","2","아동현원수","5607","2383","193","442","1851","507","0","231"
"2020","11545","금천","1","아동정원수","7519","2907","223","645","2620","700","0","424"
"2020","11530","구로","3","정원충족률","82.02%","89.15%","83.61%","83.16%","76.18%","80.61%","85.9%","64.57%"
"2020","11530","구로","2","아동현원수","10293","4370","250","311","3220","1767","67","308"
"2020","11530","구로","1","아동정원수","12549","4902","299","374","4227","2192","78","477"
"2020","11500","강서","3","정원충족률","77.95%","84.62%","73.9%","78.97%","72.87%","77.26%","74.63%","78.62%"
"2020","11500","강서","2","아동현원수","12520","4417","201","184","4617","2229","100","772"
"2020","11500","강서","1","아동정원수","16062","5220","272","233","6336","2885","134","982"
"2020","11470","양천","3","정원충족률","78.37%","85.37%","0.%","86.05%","73.46%","73.29%","56.25%","74.22%"
"2020","11470","양천","2","아동현원수","8966","4019","0","37","2879","1737","9","285"
"2020","11470","양천","1","아동정원수","11440","4708","0","43","3919","2370","16","384"
"2020","11440","마포","3","정원충족률","82.03%","83.57%","0.%","76.05%","85.57%","81.48%","90.85%","68.09%"
"2020","11440","마포","2","아동현원수","7459","3928","0","127","1625","972","139","668"
"2020","11440","마포","1","아동정원수","9093","4700","0","167","1899","1193","153","981"
"2020","11410","서대문","3","정원충족률","84.51%","88.92%","0.%","89.02%","79.47%","90.83%","68.97%","71.76%"
"2020","11410","서대문","2","아동현원수","5754","2864","0","73","1827","594","20","376"
"2020","11410","서대문","1","아동정원수","6809","3221","0","82","2299","654","29","524"
"2020","11740","강동","3","정원충족률","83.38%","87.23%","94.25%","86.67%","79.51%","84.98%","90.%","78.16%"
"2020","11380","은평","3","정원충족률","78.15%","86.11%","0.%","78.93%","74.66%","72.22%","80.%","67.82%"
"2020","11380","은평","2","아동현원수","10082","3534","0","281","5426","707","16","118"
"2020","11380","은평","1","아동정원수","12901","4104","0","356","7268","979","20","174"
"2020","11350","노원","3","정원충족률","80.51%","84.06%","78.37%","0.%","78.45%","79.03%","50.%","65.83%"
"2020","11350","노원","2","아동현원수","9433","4119","163","0","2170","2729","15","237"
"2020","11350","노원","1","아동정원수","11717","4900","208","0","2766","3453","30","360"
"2020","11320","도봉","3","정원충족률","76.05%","86.89%","78.79%","71.64%","71.27%","70.08%","100.%","62.5%"
"2020","11320","도봉","2","아동현원수","6701","2505","26","48","2949","979","29","165"
"2020","11320","도봉","1","아동정원수","8811","2883","33","67","4138","1397","29","264"
"2020","11305","강북","3","정원충족률","78.46%","83.7%","68.92%","63.03%","77.03%","71.49%","53.49%","55.45%"
"2020","11305","강북","2","아동현원수","6079","2383","51","75","3175","316","23","56"
"2020","11305","강북","1","아동정원수","7748","2847","74","119","4122","442","43","101"
"2020","11290","성북","3","정원충족률","78.75%","81.38%","84.4%","85.84%","74.16%","76.17%","81.63%","68.18%"
"2020","11290","성북","2","아동현원수","7947","3715","92","770","2006","1144","40","180"
"2020","11290","성북","1","아동정원수","10091","4565","109","897","2705","1502","49","264"
"2020","11260","중랑","3","정원충족률","79.31%","84.55%","0.%","82.97%","74.84%","79.7%","92.31%","78.88%"
"2020","11260","중랑","2","아동현원수","8448","3268","0","229","3692","1052","24","183"
"2020","11260","중랑","1","아동정원수","10652","3865","0","276","4933","1320","26","232"
"2020","11230","동대문","3","정원충족률","81.24%","85.68%","0.%","72.55%","77.58%","83.98%","0.%","61.87%"
"2020","11230","동대문","2","아동현원수","6860","3178","0","148","2225","1064","0","245"
