기간	지역	어린이 교통사고	어린이 교통사고	어린이 교통사고	어린이보호구역내 어린이 교통사고	어린이보호구역내 어린이 교통사고	어린이 보행 사상자	어린이 보행 사상자
기간	지역	발생건수	사망자수	부상자수	발생건수	부상자수	사망자수	부상자수
2020	합계	928	2	1,078	65	70	2	276
2020	종로구	16	-	19	1	1	-	3
2020	중구	14	-	15	2	2	-	7
2020	용산구	24	-	28	2	2	-	8
2020	성동구	18	-	20	1	1	-	4
2020	광진구	22	-	25	4	4	-	12
2020	동대문구	31	-	33	4	4	-	8
2020	중랑구	62	-	70	1	1	-	9
2020	성북구	32	-	35	2	2	-	13
2020	강북구	33	-	43	1	1	-	8
2020	도봉구	19	-	20	2	2	-	9
2020	노원구	54	-	67	1	2	-	11
2020	은평구	36	-	42	1	1	-	12
2020	서대문구	36	1	42	2	3	1	13
2020	마포구	34	-	43	2	2	-	5
2020	양천구	47	1	49	4	4	1	13
2020	강서구	43	-	50	5	5	-	14
2020	구로구	32	-	39	4	5	-	16
2020	금천구	20	-	23	1	1	-	7
2020	영등포구	50	-	58	4	4	-	14
2020	동작구	24	-	29	2	2	-	6
2020	관악구	34	-	41	2	2	-	14
2020	서초구	43	-	50	3	3	-	9
2020	강남구	76	-	94	6	8	-	20
2020	송파구	88	-	101	1	1	-	24
2020	강동구	40	-	42	7	7	-	17
