기간	대분류	분류	종합	자연재해	밤거리	범죄피해	건축물 사고
2014	서울시	서울시	5.09	4.54	5.53	5.52	4.77
2014	성별	남자	4.9	4.44	5.22	5.28	4.64
2014	성별	여자	5.28	4.63	5.84	5.75	4.88
2014	연령별	10대	5.31	4.74	5.8	5.82	4.89
2014	연령별	20대	5.24	4.63	5.7	5.74	4.88
2014	연령별	30대	5.12	4.56	5.57	5.54	4.81
2014	연령별	40대	5.15	4.62	5.58	5.59	4.83
2014	연령별	50대	5.01	4.46	5.44	5.46	4.69
2014	연령별	60대 이상	4.88	4.38	5.32	5.23	4.6
2014	학력별	중졸 이하	4.78	4.25	5.24	5.2	4.44
2014	학력별	고졸 이하	5.14	4.64	5.58	5.52	4.82
2014	학력별	대졸 이하	5.13	4.55	5.57	5.6	4.81
2014	학력별	대학원 이상	5.18	4.27	5.63	5.79	5.05
2014	소득별	100만원 미만	4.38	3.98	4.83	4.68	4.03
2014	소득별	100-200만원 미만	4.86	4.28	5.46	5.25	4.45
2014	소득별	200-300만원 미만	5.05	4.46	5.48	5.5	4.75
2014	소득별	300-400만원 미만	5.16	4.65	5.59	5.58	4.81
2014	소득별	400-500만원 미만	5.1	4.54	5.57	5.52	4.76
2014	소득별	500만원 이상	5.19	4.62	5.59	5.66	4.91
2014	혼인상태별	기혼	5.09	4.55	5.53	5.5	4.78
2014	혼인상태별	미혼	5.14	4.57	5.58	5.63	4.77
2014	혼인상태별	이혼/별거	5.18	4.51	5.71	5.76	4.75
2014	혼인상태별	사별	4.85	4.35	5.31	5.14	4.59
2014	지역대분류	도심권	5.07	4.29	5.44	5.7	4.86
2014	지역대분류	동북권	5.22	4.75	5.64	5.61	4.87
2014	지역대분류	서북권	5.31	4.79	5.82	5.62	4.99
2014	지역대분류	서남권	4.73	4.25	5.19	5.12	4.35
2014	지역대분류	동남권	5.31	4.55	5.72	5.89	5.07
2014	종로구	종로구	5.04	3.77	5.96	6.03	4.4
2014	중구	중구	5.28	4.81	5.16	5.7	5.43
2014	용산구	용산구	4.99	4.37	5.23	5.48	4.87
2014	성동구	성동구	5.64	5.07	6.07	6.16	5.26
2014	광진구	광진구	4.58	4.24	4.89	4.9	4.29
2014	동대문구	동대문구	5.02	4.54	5.52	5.4	4.6
2014	중랑구	중랑구	5.34	5.07	5.71	5.55	5.01
2014	성북구	성북구	5.48	5.14	5.83	5.9	5.04
2014	강북구	강북구	4.92	4.32	5.27	5.61	4.5
2014	도봉구	도봉구	5.88	5.92	5.93	5.82	5.83
2014	노원구	노원구	5.01	4.02	5.83	5.59	4.61
2014	은평구	은평구	5.11	4.66	5.72	5.33	4.73
2014	서대문구	서대문구	5.67	5.4	5.86	5.81	5.62
2014	마포구	마포구	5.26	4.44	5.93	5.87	4.82
2014	양천구	양천구	3.77	3.53	4.11	4.12	3.32
2014	강서구	강서구	4.93	4.4	5.34	5.29	4.67
2014	구로구	구로구	5.09	4.61	5.53	5.41	4.83
2014	금천구	금천구	5.26	4.14	5.87	5.95	5.07
2014	영등포구	영등포구	4.4	4.1	4.89	4.84	3.76
2014	동작구	동작구	4.99	4.15	5.78	5.48	4.57
2014	관악구	관악구	4.83	4.64	5.14	5.11	4.44
2014	서초구	서초구	5.06	4.1	5.73	5.93	4.46
2014	강남구	강남구	5.35	4.85	5.55	5.92	5.07
2014	송파구	송파구	5.74	4.83	6.04	6.19	5.92
2014	강동구	강동구	4.92	4.26	5.48	5.42	4.5
