A0,A1,A2,A3
292,11110186,신영동,"""2021-06-24T00:00:00.000Z"""
293,11110169,혜화동,"""2021-06-24T00:00:00.000Z"""
294,11110184,부암동,"""2021-06-24T00:00:00.000Z"""
295,11110140,삼청동,"""2021-06-24T00:00:00.000Z"""
296,11110101,청운동,"""2021-06-24T00:00:00.000Z"""
297,11110168,동숭동,"""2021-06-24T00:00:00.000Z"""
1027,11110187,무악동,"""2021-06-24T00:00:00.000Z"""
329,11110144,사간동,"""2021-06-24T00:00:00.000Z"""
330,11110137,낙원동,"""2021-06-24T00:00:00.000Z"""
331,11110132,운니동,"""2021-06-24T00:00:00.000Z"""
332,11110150,훈정동,"""2021-06-24T00:00:00.000Z"""
336,11110138,종로2가,"""2021-06-24T00:00:00.000Z"""
337,11110107,적선동,"""2021-06-24T00:00:00.000Z"""
1028,11110181,행촌동,"""2021-06-24T00:00:00.000Z"""
338,11110114,내자동,"""2021-06-24T00:00:00.000Z"""
339,11110125,중학동,"""2021-06-24T00:00:00.000Z"""
334,11110159,원남동,"""2021-06-24T00:00:00.000Z"""
335,11110134,경운동,"""2021-06-24T00:00:00.000Z"""
340,11110160,연지동,"""2021-06-24T00:00:00.000Z"""
321,11110106,통의동,"""2021-06-24T00:00:00.000Z"""
322,11110141,안국동,"""2021-06-24T00:00:00.000Z"""
323,11110112,체부동,"""2021-06-24T00:00:00.000Z"""
324,11110165,이화동,"""2021-06-24T00:00:00.000Z"""
310,11140125,충무로2가,"""2021-06-24T00:00:00.000Z"""
289,11110175,숭인동,"""2021-06-24T00:00:00.000Z"""
290,11110182,구기동,"""2021-06-24T00:00:00.000Z"""
291,11110183,평창동,"""2021-06-24T00:00:00.000Z"""
315,11110166,연건동,"""2021-06-24T00:00:00.000Z"""
316,11110105,창성동,"""2021-06-24T00:00:00.000Z"""
317,11110142,소격동,"""2021-06-24T00:00:00.000Z"""
318,11110108,통인동,"""2021-06-24T00:00:00.000Z"""
319,11110110,누하동,"""2021-06-24T00:00:00.000Z"""
320,11110147,재동,"""2021-06-24T00:00:00.000Z"""
325,11110113,필운동,"""2021-06-24T00:00:00.000Z"""
326,11110115,사직동,"""2021-06-24T00:00:00.000Z"""
327,11110145,송현동,"""2021-06-24T00:00:00.000Z"""
328,11110131,권농동,"""2021-06-24T00:00:00.000Z"""
388,11110122,청진동,"""2021-06-24T00:00:00.000Z"""
370,11110155,관수동,"""2021-06-24T00:00:00.000Z"""
371,11110176,교남동,"""2021-06-24T00:00:00.000Z"""
372,11110164,종로6가,"""2021-06-24T00:00:00.000Z"""
373,11110119,세종로,"""2021-06-24T00:00:00.000Z"""
341,11110128,관훈동,"""2021-06-24T00:00:00.000Z"""
301,11110148,계동,"""2021-06-24T00:00:00.000Z"""
302,11110130,와룡동,"""2021-06-24T00:00:00.000Z"""
303,11110111,옥인동,"""2021-06-24T00:00:00.000Z"""
