,행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명
0,1100000000,서울특별시,-,-,1100000000,서울특별시
1,1111000000,서울특별시,종로구,-,1111000000,종로구
2,1111000000,서울특별시,종로구,-,1111090100,창신1동
3,1111000000,서울특별시,종로구,-,1111090200,창신2동
4,1111000000,서울특별시,종로구,-,1111090300,창신3동
5,1111000000,서울특별시,종로구,-,1111090400,숭인1동
6,1111000000,서울특별시,종로구,-,1111090500,숭인2동
7,1111051000,서울특별시,종로구,청운동,1111010100,청운동
8,1111051000,서울특별시,종로구,청운동,1111010200,신교동
9,1111051000,서울특별시,종로구,청운동,1111010300,궁정동
10,1111051000,서울특별시,종로구,청운동,1111011900,세종로
11,1111051500,서울특별시,종로구,청운효자동,1111010100,청운동
12,1111051500,서울특별시,종로구,청운효자동,1111010200,신교동
13,1111051500,서울특별시,종로구,청운효자동,1111010300,궁정동
14,1111051500,서울특별시,종로구,청운효자동,1111010400,효자동
15,1111051500,서울특별시,종로구,청운효자동,1111010500,창성동
16,1111051500,서울특별시,종로구,청운효자동,1111010800,통인동
17,1111051500,서울특별시,종로구,청운효자동,1111010900,누상동
18,1111051500,서울특별시,종로구,청운효자동,1111011000,누하동
19,1111051500,서울특별시,종로구,청운효자동,1111011100,옥인동
20,1111051500,서울특별시,종로구,청운효자동,1111011900,세종로
21,1111052000,서울특별시,종로구,효자동,1111010400,효자동
22,1111052000,서울특별시,종로구,효자동,1111010500,창성동
23,1111052000,서울특별시,종로구,효자동,1111010800,통인동
24,1111052000,서울특별시,종로구,효자동,1111010900,누상동
25,1111052000,서울특별시,종로구,효자동,1111011000,누하동
26,1111052000,서울특별시,종로구,효자동,1111011100,옥인동
27,1111053000,서울특별시,종로구,사직동,1111010600,통의동
28,1111053000,서울특별시,종로구,사직동,1111010700,적선동
29,1111053000,서울특별시,종로구,사직동,1111011200,체부동
30,1111053000,서울특별시,종로구,사직동,1111011300,필운동
31,1111053000,서울특별시,종로구,사직동,1111011400,내자동
32,1111053000,서울특별시,종로구,사직동,1111011500,사직동
33,1111053000,서울특별시,종로구,사직동,1111011600,도렴동
34,1111053000,서울특별시,종로구,사직동,1111011700,당주동
35,1111053000,서울특별시,종로구,사직동,1111011800,내수동
36,1111053000,서울특별시,종로구,사직동,1111011900,세종로
37,1111053000,서울특별시,종로구,사직동,1111012000,신문로1가
38,1111053000,서울특별시,종로구,사직동,1111012100,신문로2가
39,1111054000,서울특별시,종로구,삼청동,1111013900,팔판동
