자치구,형법범죄율_2019
강남구,1339.7680352331113
강동구,920.5007487381527
강북구,1222.472081897348
강서구,832.0434744405165
관악구,1065.3997048554872
광진구,1141.5966984488402
구로구,1157.4666063384022
금천구,1333.7055968386237
노원구,779.313386063182
도봉구,632.9455666812654
동대문구,1066.4540691057616
동작구,858.6660874879724
마포구,1294.5312604435414
서대문구,951.2050860221657
서초구,1286.366189598585
성동구,834.8593667432175
성북구,649.9491697729583
송파구,842.9480399017103
양천구,701.4940032521035
영등포구,1582.9067825651791
용산구,1448.8126995233306
은평구,808.2794480367976
종로구,2542.137616498116
중구,3429.4726997487533
중랑구,1075.0223543191064
합계,1065.5448644978414
